scene_id,scene_title,world,act,start_timecode,end_timecode,duration_sec,location,characters_present,key_objects,dominant_color,description,chronological_order,notes
1,Jitterbug Contest & POV Falling,reality_memory,opening,00:00:00,00:02:23,143,deep_river_ontario,"diane,grandparents,jitterbug_dancers",jitterbug_trophy,red_purple,"Jitterbug dance contest with Diane and grandparents; transitions to first-person POV falling onto pillow",1,"Memory/reality fragment that bookends the dream. Per analysis: 'innocent persona of past' that gets inserted into dream"
2,Mulholland Drive Limo Ride,dream,act1,00:02:23,00:05:30,187,mulholland_drive_limo,"camilla_brunette,driver,passenger,drag_racers",limousine_pistol,blue_black,"Camilla in limo says 'We don't stop here'; assassination attempt foiled by car accident; she escapes injured and amnesiac",7,"In real timeline this is the limo ride to Adam's party; transformed in dream into assassination"
3,Winkie's - Dan & Herb Dream,dream,act1,00:05:30,00:08:30,180,winkies_diner,"dan,herb",none,beige_yellow,"Dan tells Herb about recurring dream of a man behind Winkie's; they investigate; Dan collapses in fear seeing the bum",NA,"Pure dream-logic scene. Dan is a character Diane saw at Winkie's when meeting hitman"
4,Mr Roque's Office,dream,act1,00:08:30,00:10:00,90,roque_office,"mr_roque,assistants",phones,red,"Wheelchair-bound Mr. Roque issues unspoken commands via phone chain about 'the girl'",NA,"Hollywood power broker persona; symbolic of unyielding control"
5,Betty Arrives in LA,dream,act1,00:10:00,00:14:00,240,airport_lax,"betty,irene,irenes_husband,taxi_driver",pink_sweater_luggage,pink_white,"Betty arrives at LAX from Deep River Ontario, cheerfully says goodbye to elderly couple Irene and her husband who later laugh maniacally",NA,"Innocent persona enters the dream world. Note the 'sinister laugh' foreshadowing"
6,Rita Walks Down Hill,dream,act1,00:14:00,00:16:00,120,sunset_strip,"rita_brunette",purse_money,blue_night,"Injured amnesiac Rita walks down Sunset Boulevard at dawn, hides in bushes, sneaks into apartment",NA,"Mirrors William Mulholland water flowing 'down hill into LA'"
7,Detectives at Crash Site,dream,act1,00:16:30,00:17:00,30,crash_site,"detective_harry,detective_neal","earring,evidence",dawn_blue,"Detectives Harry and Neal investigate Mulholland Drive crash; find earring suggesting missing person",NA,"Brief scene; detective figures recurring throughout"
8,Rita Hides in Aunt Ruths Apartment,dream,act1,00:17:00,00:18:30,90,aunt_ruth_apartment,"rita,aunt_ruth",none,pink_warm,"Rita sneaks past aunt Ruth who is leaving for Canada, hides under coffee table then in bedroom",NA,"Aunt Ruth's apartment becomes safe haven in dream"
9,Coco Welcomes Betty / Meets Rita,dream,act1,00:18:30,00:25:00,390,havenhurst_courtyard_apartment,"betty,coco_lenoix,rita",apartment_keys,pink_apricot,"Coco welcomes Betty to courtyard apartment; Betty discovers Rita in shower; Rita claims her name is Rita seeing 'Gilda' poster",NA,"Two key personas meet. Rita takes name from Rita Hayworth poster"
10,Castigliane Brothers / Espresso Scene,dream,act1,00:25:00,00:31:00,360,production_office,"adam_kesher,ray,robert_smith,castigliane_brothers,vincenzo,luigi","photo_of_blond_camilla,espresso,napkin",black_white_marble,"Mob brothers force director Adam to cast 'this is the girl' Camilla Rhodes (blonde); Luigi spits espresso into napkin",NA,"Critical 'this is the girl' line - parallels Mulholland's 'There it is, take it'"
